vocab_number,poj,poj_sandhi,taiwanese_hanji,english
20,Chit pún hō· lí khòaⁿ; iáu ū chi̍t pún góa boeh khòaⁿ.,Chit2 pún hō·3 lí1 khòaⁿ; iáu1 ū3 chi̍t3 pún góa1 boeh2 khòaⁿ.,這本予你看; 猶有一本我欲看.,I want you to read this book; I want to read the other one.
21,chi̍t-ji̍t,chi̍t3-ji̍t,一日,one day / the whole day / each day.
21,I chi̍t-ji̍t lâi chi̍t pái.,I7 chi̍t3-ji̍t lâi7 chi̍t3 pái.,伊一日來一擺.,He comes once a day.
22,Ji̍t-sî góa chin bô ài khòaⁿ tiān-iáⁿ.,Ji̍t-sî3 góa1 chin7 bô7 ài2 khòaⁿ2 tiān3-iáⁿ.,日時我真無愛看電影.,I hate to watch a movie in the daytime.
23,kàu-ūi,kàu2-ūi,到位,to arrive / reach (destination).
23,Góa tha̍k kàu chia niā-niā.,Góa1 tha̍k3 kàu2 chia niā3-niā.,我讀到遮爾爾.,I have only studied up to here.
23,Kúi tiám ē kàu-ūi?,Kúi1 tiám1 ē3 kàu2-ūi?,幾點會到位?,What time will we get there?
24,I kúi tiám khit-khì?,I7 kúi1 tiám1 khit-khì?,伊幾點起去?,What time did he go up?
24,I khit-khì lâu-téng.,I7 khit2-khì2 lâu7-téng.,伊起去樓頂.,He went upstairs.
24,I iáu-bōe peh-khit-khì.,I7 iáu1-bōe3 peh-khit3-khì.,伊猶未爬起去.,He hasn't gone up yet.
25,Lí chái-khí-sî kúi tiám khit-lâi?,Lí1 chái1-khí1-sî kúi1 tiám1 khit-lâi3?,你早起時幾點起來?,What time do you get up in the morning?
25,Chhiáⁿ i khit-lâi lâu-téng.,Chhiáⁿ1 i7 khit2-lâi7 lâu7-téng.,請伊起來樓頂.,Ask him to come upstairs.
25,I iáu-bōe peh-khit-lâi.,I7 iáu1-bōe3 peh-khit3-lâi3.,伊猶未爬起來.,He hasn't gotten out of bed yet.
26,khì khùn,khì2 khùn,去睏,to go to bed.
26,Lí chang-àm kúi tiám khùn?,Lí1 chang7-àm kúi1 tiám1 khùn?,你昨暗幾點睏?,What time did you go to bed last night?
26,Lí chang-àm khùn kúi tiám-cheng?,Lí1 chang7-àm khùn2 kúi1 tiám1-cheng?,你昨暗睏幾點鐘?,How many hours did you sleep last night?
26,Lín Sian-siⁿ lè?,Lín1 Sian7-siⁿ lè?,恁先生咧?,Where's your husband?
26,I teh khùn.,I7 teh2 khùn.,伊咧睏.,He's sleeping.
27,"I khùn-khì a.","I7 khùn-khì a3, ka7-chōe á.","伊睏去矣.",He has gone to sleep.
27,"I ka-chōe a.","I7 ka7-chōe a7.","伊加睡矣.",He has gone to sleep.
27,"I teh khùn, m̄-kú iáu-bōe khùn-khì.","I7 teh2 khùn, m̄3-kú1 iáu1-bōe3 khùn-khì.","伊咧睏, 毋過猶未睏去.",He is in bed but hasn't gone to sleep yet.
28,"Góa tiong-tàu bô khùn-tiong-tàu, chím-á chīn ài-khùn.","Góa1 tiong7-tàu bô7 khùn2-tiong7-tàu, chím1-á chīn3 ài2-khùn.","我中晝無睏中晝, 這馬真愛睏.",I didn't get a nap this noon and now I'm really sleepy.
29,Lí ū chi̍t-chheng kho· bô·?,Lí1 ū3 chi̍t3-chheng7 kho· bô·3?,你有一千箍無?,Do you have $1000?
29,Ū là.,Ū là.,有啦.,Yes.
30,lâu-kha,lâu7-kha,樓跤,downstairs.
30,lâu-téng,lâu7-téng,樓頂,upstairs.
30,Chhiáⁿ lí khit-khì lâu-kha.,Chhiáⁿ1 lí1 khit2-khì2 lâu7-kha.,請你起去樓跤.,Please go downstairs.
30,Chit tiám-cheng góa tī lâu-kha.,Chit2 tiám1-cheng góa1 tī3 lâu7-kha.,這點鐘我佇樓跤.,I study downstairs this period.
30,Chhiáⁿ lí khit-khì lâu-téng.,Chhiáⁿ1 lí1 khit2-khì2 lâu7-téng.,請你起去樓頂.,Please come upstairs.
30,"I iáu tī tē-saⁿ lâu; iáu-bōe lo̍h-lâi.","I7 iáu1 tī3 tē3-saⁿ lâu; iáu1-bōe3 lo̍h-lâi3.","伊猶佇第三樓; 猶未落來.",He's still on the 3rd floor; he hasn't come down yet.
30,Chit keng ū cha̍p lâu.,Chit2 keng ū3 cha̍p3 lâu.,這間有十樓.,This building has 10 stories.
31,"Chit lé-pài goán bô tha̍k-chheh; lín ū bô·?","Chit2 lé1-pài goán1 bô7 tha̍k3-chheh; lín1 ū bô·3?","這禮拜阮無讀冊; 恁有無?","We don't have class this week; do you?"
31,Chit khò góa tha̍k nn̄g lé-pài.,Chit2 khò góa1 tha̍k3 nn̄g3 lé1-pài.,這課我讀兩禮拜.,I studied this lesson for 2 weeks.
33,lo̍h-chhia,lo̍h3-chhia,落車,to alight from a vehicle.
33,lo̍h-lâi,lo̍h-lâi3,落來,to come down.
33,lo̍h-khì,lo̍h-khì,落去,to go down.
33,Ū lâng boeh lo̍h-chhia bô·?,Ū3 lâng7 boeh2 lo̍h3-chhia bô·3?,有人欲落車無?,Is anyone getting off here?
33,I chái-khí tùi Tâi-pak lo̍h-chhia.,I7 chái1-khí tùi2 Tâi7-pak lo̍h3-chhia.,伊早起對台北落車.,He came down from Taipei this morning.
34,Kin-á-ji̍t pài-kúi?,Kin7-á1-ji̍t pài2-kúi?,今仔日拜幾?,What day of the week is today?
35,peh soaⁿ,peh2 soaⁿ,爬山,climb the mountains.
35,I boeh peh-khit-khì lâu-téng.,I7 boeh2 peh2-khit2-khì2 lâu7-téng.,伊欲爬起去樓頂.,He's going upstairs.
35,Lí chái-khí kúi tiám peh-khit-lâi?,Lí1 chái1-khí kúi1 tiám1 peh-khit3-lâi3?,你早起幾點爬起來?,What time did you get up this morning?
36,Lí ē-hiáu khòaⁿ sî-cheng bē?,Lí1 ē3-hiáu1 khòaⁿ2 sî7-cheng bē3?,你會曉看時鐘袂?,Do you know how to tell time?
37,"Góa m̄-sī bô ài lâi, sī bô sî-kan.","Góa1 m̄3-sī3 bô7 ài2 lâi, sī3 bô7 sî7-kan.","我毋是無愛來, 是無時間.","It's not that I don't want to come, it's that I have no time."
37,Chím-á sī siōng-khò ê sî-kan.,Chím1-á sī3 siōng3-khò2 ê7 sî7-kan.,這馬是上課的時間.,Now it's time for class.
38,Lí ê pió chím-á kúi tiám?,Lí1 ê7 pió chím1-á kúi1 tiám?,你的錶這馬幾點?,What time is it now by your watch?
38,Góa ê pió chím-á gō·-tiám sì-cha̍p-gōa hun.,Góa1 ê7 pió chím1-á gō·3-tiám sì2-cha̍p3-gōa3 hun.,我的錶這馬五點四十外分.,By my watch it's now after five forty.
39,Lán lâi kóng i ê tāi-chì.,Lán1 lâi7 kóng1 i7 ê7 tāi3-chì.,咱來講伊的代誌.,Let's talk about him.
39,Góa ū chin-chē tāi-chì.,Góa1 ū3 chin7-chē3 tāi3-chì.,我有真濟代誌.,I have a lot of business.
40,Lí tang-sî boeh khì?,Lí1 tang7-sî boeh2 khì?,你當時欲去?,When are you going?
41,bîn-á-tiong-tàu,bîn7-á1-tiong7-tàu,明仔中晝,tomorrow noon.
41,chang-tiong-tàu,chang7-tiong7-tàu,昨中晝,yesterday noon.
41,chia̍h tiong-tàu,chia̍h3 tiong7-tàu,食中晝,to have lunch.
41,chia̍h ē-tàu,chia̍h3 ē-tàu,食下晝,to have lunch.
41,Tiong-tàu lí chia̍h pá bōe?,Tiong7-tàu lí1 chia̍h3 pá bōe3?,中晝你食飽袂?,Did you have lunch yet?
41,Lí chia̍h tiong-tàu bōe?,Lí1 chia̍h3 tiong7-tàu bōe3?,你食中晝袂?,Did you have lunch yet?
42,Tiong-tàu-sî lí bat khùn-tiong-tàu bô·?,Tiong7-tàu2-sî lí1 bat2 khùn2-tiong7-tàu bô·3?,中晝時你捌睏中晝無?,Did you ever take a nap at noon?
43,I cha-hng tńg-khì.,I7 cha7-hng tńg-khì.,伊昨昏轉去.,He went home yesterday.
43,Lí tang-sî boeh tńg-khì?,Lí1 tang7-sî boeh2 tńg-khì?,你當時欲轉去?,When are you going home?
44,Lí tang-sî boeh tńg-lâi?,Lí1 tang7-sî boeh2 tńg-lâi3?,你當時欲轉來?,When are you coming back home?
44,Góa bîn-á-ē-po· chiah boeh tńg-lâi.,Góa1 bîn7-á1-ē-po· chiah2 boeh2 tńg-lâi3.,我明仔下晡才欲轉來.,I won't come back till tomorrow afternoon.
45,"Nā bô sím-mih koh boeh, lán chím-á lâi tńg-lâi-khì.","Nā3 bô7 sím1-mih2 koh2 boeh, lán1 chím1-á lâi7 tńg-lâi3-khì.","若無啥物閣欲, 咱這馬來轉來去.","If you don't want to buy anything else, let's go back home now."
