vocab_number,poj,poj_sandhi,taiwanese_hanji,english
17,Joa̍h-thiⁿ góa khah ài lim léng-tê.,Joa̍h3-thiⁿ góa1 khah2 ài2 lim7 léng1-tê.,熱天我較愛啉冷茶.,In summer I prefer cold tea.
18,"Chīn joa̍h, lán chē kè-thêng-chhia lâi-khì.","Chīn3 joa̍h, lán1 chē3 kè2-thêng7-chhia lâi7-khì.","真熱, 咱坐計程車來去.","It's very hot, let's go by taxi."
18,I teh sái kè-thêng-chhia.,I7 teh2 sái1 kè2-thêng7-chhia.,伊咧駛計程車.,He drives a taxi.
19,"Lâng-kheh ū lâi á bô, Liâu Thài-thài khah chai-iáⁿ.","Lâng7-kheh ū3 lâi á bô, Liâu Thài2-thài khah2 chai7-iáⁿ.","人客有來矣無, 廖太太較知影.",Mrs. Liâu is more likely to know whether a guest has come.
20,Chhiáⁿ khiā khit-lâi.,Chhiáⁿ1 khiā3 khit-lâi3.,請徛起來.,Please stand up.
20,Lí khiā tòa hia teh khòaⁿ siaⁿh?,Lí1 khiā3 tòa3 hia teh2 khòaⁿ siaⁿh?,你徛蹛遐咧看啥?,You're standing there looking at what?
21,I teh khiâ o·-thó·-bái chīn kín.,I7 teh2 khiâ7 o·7-thó·1-bái chīn3 kín.,伊咧騎機車真緊.,He rides a motorcycle very fast.
21,"Khah kín chia̍h, mài kóng-ōe.","Khah2 kín chia̍h, mài2 kóng1-ōe.","較緊食, 莫講話.",Eat up quickly; don't talk.
22,"Lán tùi Ko-sok-kong-lō· khì, khah kín.","Lán1 tùi2 Ko7-sok2-kong7-lō· khì, khah2 kín.","咱對高速公路去, 較緊.","Let's go by the Freeway, it's faster."
23,Lí ē kôaⁿ bē?,Lí1 ē3 kôaⁿ bē3?,你會寒袂?,Are you cold?
23,"Kin-á-ji̍t khah kôaⁿ, lí chhēng kúi niá saⁿ?","Kin7-á1-ji̍t khah2 kôaⁿ, lí1 chhēng3 kúi1 niá1 saⁿ?","今仔日較寒, 你穿幾領衫?",It's colder today; how many clothes are you wearing?
24,Kôaⁿ-thiⁿ soaⁿ-téng chīn kôaⁿ.,Kôaⁿ7-thiⁿ soaⁿ7-téng chīn3 kôaⁿ.,寒天山頂真寒.,In winter mountaintops are pretty cold.
24,Kôaⁿ-thiⁿ thang-á-mn̂g koaiⁿ-khit-lâi khah sio.,Kôaⁿ7-thiⁿ thang7-á1-mn̂g koaiⁿ7-khit-lâi3 khah2 sio.,寒天窗仔門關起來較燒.,In winter if you close the windows it's warmer.
25,Lōa kú?,Lōa3 kú?,偌久?,How long?
25,Hō· lí chò ài lōa kú?,Hō·3 lí1 chò ài2 lōa3 kú?,予你做愛偌久?,How long will it take if I give you this to do?
25,Tâi-pak góa chīn kú m̄-bat khì á.,Tâi7-pak góa1 chīn3 kú m̄3-bat2 khì á.,台北我真久毋捌去矣.,I haven't gone to Taipei in a long time.
26,Tī lō·-nih ū chīn-chē lâng kîaⁿ-lâi-kîaⁿ-khì.,Tī3 lō·-nih3 ū3 chīn3-chē3 lâng kîaⁿ7-lâi7-kîaⁿ7-khì.,佇路裡有真濟人行來行去.,There are a lot of people passing by on the street.
26,I teh kîaⁿ-lâi-kîaⁿ-khì boeh chhòng-siaⁿh?,I7 teh2 kîaⁿ7-lâi7-kîaⁿ7-khì boeh2 chhòng2-siaⁿh?,伊咧行來行去欲創啥?,What's he walking all around here for?
27,léng-kún-chúi,léng1-kún1-chúi,冷滾水,water (boiled and cooled) for drinking.
27,Lí ê chhiú án-chóaⁿ hiah léng?,Lí1 ê7 chhiú án1-chóaⁿ hiah2 léng?,你的手按怎遐冷?,Why is your hand so cold?
27,Si-koe nā ū léng khah hó-chia̍h.,Si7-koe nā3 ū3 léng khah2 hó1-chia̍h.,西瓜若有冷較好食.,Watermelons taste better cold.
28,Thn̂g-á chia̍h liáu á.,Thn̂g7-á chia̍h3 liáu á.,糖仔食了矣.,The candy is all eaten up.
28,Chit hāng tāi-chì i chò liáu chīn hó.,Chit2 hāng3 tāi3-chì i7 chò liáu1 chīn3 hó.,這項代誌伊做了真好.,He did this very well.
28,Kóng liáu bōe?,Kóng1 liáu bōe3?,講了未?,Has he finished speaking?
28,Kóng iáu-bōe liáu.,Kóng iáu1-bōe3 liáu.,講猶未了.,He hasn't finished speaking yet.
29,āu pang,āu3 pang,後班,the next train/bus (on the schedule).
29,bóe-pang-chhia,bóe1-pang7-chhia,尾班車,the last train/bus (on the schedule).
29,thâu-pang-chhia,thâu7-pang7-chhia,頭班車,the first (earliest) train/bus.
29,Chi̍t-ji̍t ū kúi pang?,Chi̍t3-ji̍t ū3 kúi1 pang?,一日有幾班?,How many trips a day are there?
29,Góa boeh chē káu-tiám-pòaⁿ hit pang.,Góa1 boeh2 chē3 káu1-tiám1-pòaⁿ hit2 pang.,我欲坐九點半彼班.,I'll take the 9:30.
29,Lín hia ê bóe-pang-chhia sī kúi tiám-pòaⁿ?,Lín1 hia ê7 bóe1-pang7-chhia sī3 kúi1 tiám1-pòaⁿ?,恁遐的尾班車是幾點半?,What time is the last bus from your place?
30,chhia-phiò,chhia7-phiò,車票,ticket for train/bus/etc.
30,bé-phiò,bé1-phiò,買票,to buy a ticket.
30,Lí ū bé-phiò bōe?,Lí1 ū3 bé1-phiò bōe3?,你有買票未?,Did you buy a ticket yet?
30,"Lí khì kā goán bé nn̄g tiuⁿ chhia-phiò, hó bô·?","Lí1 khì2 kā3 goán1 bé1 nn̄g3 tiuⁿ7 chhia7-phiò, hó bô·3?","你去共阮買兩張車票, 好無?","Go buy me 2 bus tickets, OK?"
30,"Lí kā góa bé nn̄g tiuⁿ choân-phiò, chi̍t tiuⁿ pòaⁿ-phiò.","Lí1 kā3 góa1 bé1 nn̄g3 tiuⁿ7 choân7-phiò, chi̍t3 tiuⁿ7 pòaⁿ2-phiò.","你共我買兩張全票, 一張半票.",Buy me 2 full-fare tickets and one half-fare.
31,Chē phó·-thong-chhia chīn bān.,Chē3 phó·1-thong7-chhia chīn3 bān.,坐普通車真慢.,If you take the local train/bus it's pretty slow.
31,"Chit pang sī phó·-thong-chhia, hoⁿh?","Chit2 pang sī3 phó·1-thong7-chhia, hoⁿh?","這班是普通車, 乎?","This is the local bus/train, isn't it?"
32,Piān-só· tī e̍k-keng-á-lāi.,Piān3-só· tī3 e̍k3-keng7-á-lāi.,便所佇浴間仔內.,The toilet is in the bathroom.
33,Joa̍h-thiⁿ tio̍h-ài ta̍k-ji̍t sé seng-khu.,Joa̍h3-thiⁿ tio̍h3-ài2 ta̍k3-ji̍t sé1 seng7-khu.,熱天著愛逐日洗身軀.,In summer you have to take a bath every day.
34,sé sio-chúi,sé1 sio7-chúi,洗燒水,to wash with warm water.
34,"Chúi sio á, lí kín lâi sé.","Chúi sio á, lí1 kín lâi7 sé.","水燒矣, 你緊來洗.",The water is hot; hurry up and take your bath.
35,"Kin-á-ji̍t khah sio-joa̍h, m̄-bián chhēng hiah-chē.","Kin7-á1-ji̍t khah2 sio7-joa̍h, m̄3-bián1 chhēng3 hiah2-chē.","今仔日較燒熱, 毋免穿遐濟.",It's rather warm today; you don't have to wear that much.
36,Chit hāng chhài siōng hó-chia̍h.,Chit2 hāng3 chhài siōng3 hó1-chia̍h.,這項菜上好食.,This dish tastes best.
36,I teh bē mi̍h-kiāⁿ chòe kùi.,I7 teh2 bē3 mi̍h3-kiāⁿ chòe2 kùi.,伊咧賣物件最貴.,He sells the most expensive things.
37,Si̍t-chāi sī án-ni.,Si̍t-chāi sī3 án1-ni.,實在是按呢.,That's actually the way it is.
37,Góa si̍t-chāi m̄-chai-iáⁿ.,Góa1 si̍t-chāi m̄3-chai7-iáⁿ.,我實在毋知影.,I truly don't know.
38,"Siuⁿ chē, m̄-bián hiah-chē.","Siuⁿ chē, m̄3-bián1 hiah2-chē.","傷濟, 毋免遐濟.","That's too much, no need for that much."
38,"Siuⁿ tōa nía, pháiⁿ-khòaⁿ.","Siuⁿ tōa3 nía, pháiⁿ1-khòaⁿ.","傷大領, 歹看.","It's too big, it looks awful."
39,"Sui-jiân chīn kùi, m̄-kú chīn hó.","Sui7-jiân chīn3 kùi, m̄3-kú1 chīn3 hó.","雖然真貴, 毋過真好.","Although it's expensive, it's very good."
39,"I sui-jiân bē-hiáu, m̄-kú chīn jīn-chin.","I7 sui7-jiân bē3-hiáu, m̄3-kú1 chīn3 jīn3-chin.","伊雖然袂曉, 毋過真認真.",Though he doesn't know how, yet he tries hard.
40,Che ta̍k só·-chāi lóng ū teh bē.,Che ta̍k3 só·1-chāi lóng1 ū3 teh2 bē.,這逐所在攏有咧賣.,This is sold everywhere.
40,I ē ta̍k-ji̍t lâi chia tha̍k-chheh bô·?,I7 ē3 ta̍k3-ji̍t lâi7 chia tha̍k3-chheh bô·3?,伊會逐日來遮讀冊無?,Does he come here to study every day?
41,Chím-á teh-boeh cha̍p-tiám á.,Chím1-á teh2-boeh2 cha̍p3-tiám á.,這馬咧欲十點矣.,It's nearly 10:00 now.
41,Hō· teh-boeh lo̍h á.,Hō· teh2-boeh2 lo̍h á.,雨咧欲落矣.,It's about to rain.
42,Góa bô chîⁿ thang bé.,Góa1 bô7 chîⁿ thang7 bé.,我無錢通買.,I don't have the money to buy it.
42,Góa bô ōe thang-á kóng.,Góa1 bô7 ōe thang7-á kóng.,我無話通仔講.,I have nothing to say.
42,Lán bô khì-chúi thang-hó chhiáⁿ lâng-kheh.,Lán1 bô7 khì2-chúi thang7-hó1 chhiáⁿ1 lâng7-kheh.,咱無汽水通好請人客.,We don't have any soda for the visitors.
43,Kin-á-ji̍t thiⁿ-khì chīn hó.,Kin7-á1-ji̍t thiⁿ7-khì chīn3 hó.,今仔日天氣真好.,It's a fine day.
43,Kin-á-ji̍t hó-thiⁿ.,Kin7-á1-ji̍t hó1-thiⁿ.,今仔日好天.,It's good weather today.
44,Ū ti̍t-ta̍t-chhia thang chē bô·?,Ū3 ti̍t3-ta̍t3-chhia thang7 chē bô·3?,有直達車通坐無?,Are there any express buses to take?
45,Lí chhia-phiò boeh bé kúi tiuⁿ?,Lí1 chhia7-phiò boeh2 bé1 kúi1 tiuⁿ?,你車票欲買幾張?,How many bus tickets do you want?
45,Chit chheng kho· ê ū kúi tiuⁿ?,Chit2 chheng7 kho· ê7 ū3 kúi1 tiuⁿ?,這千箍的有幾張?,How many thousand-dollar bills are there?
