number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
41,phâng tê,phâng7 tê,捀茶,端茶,to bring tea (holding the cup with both hands; the polite way to serve a guest),
42,phâng chhài,phâng7 chhài,捀菜,端菜,to bring food (to the table),
43,phòa-pēⁿ/phòa-pīⁿ,phòa2-pēⁿ/phòa2-pīⁿ,破病,生病,to get sick / to fall ill,
44,phōe/mî-phōe/mî-chioh-phōe,phōe/mî7-phōe/mî7-chioh2-phōe,被/棉被/棉績被,棉被,cotton quilt,Measure Word: niá.
45,pí,pí,比,比,to compare / by comparison with,
46,pí-kàu,pí1-kàu,比較,比較,by comparison / to compare,
47,pó-tiōng,pó1-tiōng,保重,保重,to take care of (one's own health),Used when taking leave of someone who is sick/indisposed; also used mutually by parents and a child leaving home.
48,sàng,sàng,送,送,to give as a present / see off / ship goods / take (a person) somewhere,
49,siān,siān,𤺪,厭倦/膩/煩,weary / sick of,Feeling tired of it all, frequently on account of monotonous repetition.
50,sin-thé,sin7-thé,身體,身體,body,
51,sun-á/sun,sun7-á/sun,孫仔/孫,孫子/姪子,grandchild / nephew / niece,sun-á is used of grandchildren/nephews/nieces; sun is used only of grandchildren and is less common. Measure Word: ê.
52,thán-á,thán1-á,毯仔,毯子/毛毯,blanket,Measure Word: niá.
53,thiaⁿ-chò,thiaⁿ7-chò,聽做,聽成,to hear (something) mistakenly as,
54,thiaⁿ-kìⁿ/thiaⁿ-tio̍h,thiaⁿ-kìⁿ/thiaⁿ-tio̍h3,聽見/聽著,聽見/聽到,to hear,At the end of a phrase/clause/sentence -kìⁿ and -tio̍h are enclitic.
55,thiaⁿ-ū,thiaⁿ7-ū,聽有,聽得懂,to understand what was heard / to hear clearly,
56,thiaⁿ-bô,thiaⁿ7-bô,聽無,聽不懂,not understand what was heard / not hear clearly,
57,thiaⁿ-khah-ū,thiaⁿ7-khah2-ū,聽較有,比較聽得懂,to understand better,
58,thiaⁿ-khah-bô,thiaⁿ7-khah2-bô,聽較無,比較聽不懂,not understand so well,
59,thiaⁿ-lóng-ū/lóng thiaⁿ-ū,thiaⁿ7-lóng1-ū/lóng1 thiaⁿ7-ū,聽攏有/攏聽有,全部聽得懂,to understand it all,
60,thiaⁿ-lóng-bô/lóng thiaⁿ-bô,thiaⁿ7-lóng1-bô/lóng1 thiaⁿ7-bô,聽攏無/攏聽無,完全聽不懂,not understand at all,
61,thiám,thiám,忝,累/疲倦,tired / weary (physically tired from work),
